"","Town_City","Village","Streets","count_families","CF_int","A_int","AP_int","HP_int","building_id","damage_grade"
"163",26,1401,418,1,2,20,6,6,871562,"1"
"164",26,264,4564,1,2,5,8,5,487730,"1"
"165",26,1050,6937,1,2,20,9,5,9159,"1"
"166",22,974,10390,1,1,20,8,2,736513,"1"
"167",26,1001,6626,1,2,0,6,5,307966,"1"
"168",8,463,6973,0,2,0,13,6,176701,"1"
"169",26,886,9779,1,2,5,6,4,365351,"1"
"170",26,621,6842,1,2,10,9,6,196578,"1"
"171",20,158,9229,2,1,5,6,3,257451,"1"
"172",26,896,12492,1,2,10,7,4.71698904037813,903471,"1"
"173",26,1050,8526,1,1,10,9,2,489847,"1"
"174",8,678,11750,1,1,15,8,3,188007,"1"
"175",24,958,11711,1,1,20,3,3,356802,"1"
"176",26,1215,12393,0,2,20,11,5,784069,"1"
"177",26,1001,6626,3,2,15,19,7,499556,"1"
"178",26,39,11440,1,2,10,20,7,167881,"1"
"179",9,210,8932,1,2,5,15,7,207100,"1"
"180",26,39,1851,1,2,10,17,6,775985,"1"
"181",20,508,12421,1,2,5,20,5,673734,"1"
"182",26,39,11440,1,1,5,7,3,185267,"1"
"183",26,39,9133,1,1,0,19,3,308726,"1"
"184",8,463,5839,1,2,15,17,7,308830,"1"
"185",6,1253,8759,1,2,30,8,6,272699,"1"
"186",2,1156,2057,1,2,10,7,4,719456,"1"
"187",24,1293,11123,1,2,5,9,5,178516,"1"
"188",20,323,747,1,2,5,15,6,347767,"1"
"189",13,1053,2279,1,2,20,8,6,726412,"1"
"190",4,747,11413,1,2,15,6,5,1011161,"1"
"191",12,1107,5696,0,2,0,2,4,502328,"1"
"192",10,1055,10248,0,1,0,4,3,839600,"1"
"193",26,991,1452,1,1,5,3,3,859037,"1"
"194",20,251,10420,1,2,10,9,7,340003,"1"
"195",26,1023,9865,1,1,0,3,3,303023,"1"
"196",7,157,7679,0,3,10,9,8,722125,"1"
"197",26,264,7459,1,2,5,7,4,809230,"1"
"198",11,883,9474,1,4,20,4,10,649529,"1"
"199",10,151,7723,0,3,0,20,10,586998,"1"
"200",26,1401,2557,1,1,5,5,3,1033830,"1"
"201",20,158,12327,1,1,5,11,3,17538,"1"
"202",26,1050,11785,0,2,10,3,5,750020,"1"
"203",22,1398,3765,1,1,0,6,3,10380,"1"
"204",22,1320,8207,1,2,45,9,4,1017626,"1"
"205",10,960,551,1,2,0,5,4,135527,"1"
"206",13,557,5260,1,2,0,8,7,619366,"1"
"207",26,39,85,1,1,30,16,4,155929,"1"
"208",12,234,6185,1,2,10,7,4,953836,"1"
"209",7,936,7636,1,2,20,4,5,219795,"1"
"210",20,1402,1684,1,2,5,6,4,846957,"1"
"211",6,1253,8759,4,4,10,13,10,619599,"1"
"212",13,1035,11327,1,2,35,10,4,949810,"1"
"213",10,70,5834,1,2,15,3,5,526267,"1"
"214",20,953,932,1,1,0,10,3,596735,"1"
"215",26,39,1324,1,1,10,17,3,227048,"1"
"216",26,1259,1919,0,2,0,6,7,989270,"1"
"217",26,1050,8654,1,1,5,4,3,827948,"1"
"218",26,1401,7795,1,1,5,7,3,177747,"1"
"219",20,826,9566,1,1,10,3,2,981790,"1"
"220",26,432,12443,1,1,0,9,6,1015337,"1"
"221",15,316,3659,1,2,5,10,5,407440,"1"
"222",20,1339,8556,1,2,10,4,4,242281,"1"
"223",5,260,9294,0,3,10,10,6,674126,"1"
"224",6,845,5874,1,5,15,18,13,17948,"1"
"225",26,36,8789,1,1,0,2,3,574588,"1"
"226",26,886,994,0,2,10,5,5,123363,"1"
"227",26,886,9779,1,1,0,3,2,227799,"1"
"228",22,170,4078,1,2,20,7,4,411585,"1"
"229",20,672,5320,0,2,5,6,6,638398,"1"
"230",26,1401,418,1,2,15,6,5,31248,"1"
"231",6,1253,9708,1,3,15,16,9,124860,"1"
"232",12,798,7327,1,3,15,4,6,151975,"1"
"233",25,745,980,1,1,5,17,3,217682,"1"
"234",20,136,2168,0,2,5,7,6,728082,"1"
"235",11,147,9813,1,3,5,7,8,507116,"1"
"236",20,729,6199,1,2,10,6,5,367136,"1"
"237",26,753,2024,1,1,10,5,5,411325,"1"
"238",13,57,7325,1,2,5,6,4,566884,"1"
"239",14,420,10926,1,2,15,9,7,273645,"1"
"240",26,39,11440,1,1,5,7,3,569330,"1"
"241",26,1132,9472,1,2,995,9,5,22879,"1"
"242",26,1215,4782,1,1,5,3,3,77931,"1"
"243",26,39,11246,1,1,5,11,3,833215,"1"
"244",24,958,1977,1,2,55,11,4,159666,"1"
"245",26,619,11605,1,2,15,13,7,684879,"1"
"246",26,39,11246,1,1,20,6,2,328680,"1"
"247",7,255,7224,1,1,0,4,2,196964,"1"
"248",26,39,11246,1,1,0,5,3,880117,"1"
"249",19,1307,8165,1,2,20,13.3670858456462,5,223050,"1"
"250",0,1031,8933,1,3,5,10,6,773546,"1"
"251",25,889,12481,0,1,45,10,3,446046,"1"
"252",22,117,9672,1,1,5,4,2,213794,"1"
"253",26,435,10275,1,1,5,6,2,152693,"1"
"254",26,39,11440,1,1,0,17,3,370073,"1"
"255",26,435,886,1,2,5,8,8,238819,"1"
"256",17,490,9391,1,1,45,6,2,499743,"1"
"257",9,230,1944,1,1,5,10,3,652960,"1"
"258",13,1154,5051,1,2,15,6,4,178031,"1"
"259",20,173,4431,1,1,0,5,3,100671,"1"
"260",26,1001,6626,1,1,0,6,3,510530,"1"
"261",26,39,2005,1,2,10,16,6,646247,"1"
"262",6,1350,11991,2,3,5,17,9,808288,"1"
"263",13,57,6549,1,2,70,7,5,423685,"1"
"264",20,173,3647,1,2,5,10,5,575091,"1"
"265",10,356,7467,2,2,0,39,7,451471,"1"
"266",26,1001,6574,1,2,0,7,5,1050316,"1"
"267",0,1302,10049,1,2,40,5,4,317064,"1"
"268",6,845,8916,1,4,10,14,12,930784,"1"
"269",13,1376,667,0,1,0,4,3,883602,"1"
"270",13,1365,10314,1,2,0,8,5,581594,"1"
"271",26,39,1324,2,2,30,19,6,141948,"1"
"272",26,1401,4970,2,2,35,11,4,114029,"1"
"273",9,546,9976,1,1,0,11,3,174825,"1"
"274",27,1394,7260,0,3,40,19,9,475101,"1"
"275",26,1401,3904,1,1,15,23,3,197458,"1"
"276",8,463,4692,1,2,10,9,4,82881,"1"
"277",26,1023,9635,1,1,15,7,3,964799,"1"
"278",6,592,10323,1,2,20,4,5,998766,"1"
"279",8,979,1792,1,2,0,8,4,841629,"1"
"280",26,886,9779,1,1,0,4,3,790979,"1"
"281",26,621,6842,1,2,25,8,5,4849,"1"
"282",23,928,5740,1,2,25,-1.75746990392628,5,75551,"1"
"283",26,761,8216,1,2,15,5,8,1051949,"1"
"284",8,597,11,0,2,0,6,5,633260,"1"
"285",26,886,66,1,1,5,6,4,1023602,"1"
"286",10,151,7723,1,2,15,7,6,38174,"1"
"287",20,173,4431,1,1,0,17,4,973907,"1"
"288",10,127,827,1,2,0,17,7,778592,"1"
"289",20,729,2278,1,2,10,8,7,636615,"1"
"290",5,867,9344,1,2,20,10,5,645878,"1"
"291",22,170,2369,1,2,10,8,4,1004549,"1"
"292",20,158,621,1,1,0,6,3,35667,"1"
"293",22,763,1761,1,2,20,12,5,313078,"1"
"294",11,131,7872,3,2,25,8,7,516713,"1"
"295",9,445,3469,1,1,0,17,3,921936,"1"
"296",8,495,5936,1,1,30,3,3,878229,"1"
"297",1,1169,9505,0,2,20,8,5,400990,"1"
"298",22,418,9174,1,1,10,3,2,656231,"1"
"299",13,1141,7335,1,2,10,6,5,988121,"1"
"300",25,920,4908,1,2,30,8,5,466276,"1"
"301",24,1388,9107,1,2,10,11,4,749324,"1"
"302",7,157,10036,1,2,10,12,6,765795,"1"
"303",26,896,6053,1,2,5,2,3,604381,"1"
"304",20,1217,6238,0,2,0,7,6,317327,"1"
"305",26,39,10795,1,2,15,24,7,919914,"1"
"306",26,39,11246,2,1,15,31,3,792433,"1"
"307",26,1132,5881,0,2,0,3,7,561684,"1"
"308",27,533,1424,1,5,5,19,15,180602,"1"
"309",20,1359,1203,1,2,10,5,5,209895,"1"
"310",6,931,5423,1,1,5,20,3,936913,"1"
"311",10,310,6799,1,2,15,4,4,824333,"1"
"312",26,1050,8654,1,1,5,6,2,426992,"1"
"313",6,673,2803,0,2,5,11,7,10151,"1"
"314",26,1001,6626,1,3,0,27,8,606397,"1"
"315",13,1376,667,1,2,10,4,6,324542,"1"
"316",20,826,9566,1,1,5,6,2,562556,"1"
"317",8,1073,652,0,2,15,26,6,261030,"1"
"318",26,1050,11056,1,1,10,3,2,522306,"1"
"319",10,1397,3786,1,3,0,9,10,755250,"1"
"320",6,845,8916,0,5,5,19,15,739401,"1"
"321",22,1088,8136,1,2,25,4,4,449383,"1"
"322",26,886,12157,1,1,5,6,5,642277,"1"
"323",26,39,11440,2,1,10,8,3,113574,"1"
"324",12,667,9872,1,2,0,5,5,371116,"1"
"325",7,746,95,1,2,0,4,4,557642,"1"
"326",26,919,4113,1,2,20,6,4,511549,"1"
"327",26,432,10609,1,1,15,6,3,1012474,"1"
"328",26,896,11157,1,2,0,6,6,781996,"1"
"329",26,886,11288,2,2,5,7,5,789258,"1"
"330",26,1023,9865,0,1,0,3,3,739697,"1"
"331",26,264,4564,2,1,0,7,4,68277,"1"
"332",1,987,1681,1,1,55,10,3,31414,"1"
"333",26,896,773,1,2,10,4,3,790983,"1"
"334",25,50,6302,1,2,25,10,5,378831,"1"
"335",14,520,7427,1,1,15,5,2,452022,"1"
"336",27,181,2608,0,4,35,4,13,12419,"1"
"337",22,1366,5510,1,2,15,5,5,45885,"1"
"338",23,1292,11506,1,2,25,8,6,15529,"1"
"339",7,901,12376,1,3,20,12,6,450235,"1"
"340",26,264,10882,1,1,0,3,3,576437,"1"
"341",20,1112,890,1,2,0,4,7,651188,"1"
"342",20,173,4431,1,1,35,9,3,997014,"1"
"343",4,747,11413,1,1,50,4,2,618083,"1"
"344",20,517,887,1,2,15,6,7,540854,"1"
"345",22,170,2369,1,2,20,7,4,345744,"1"
"346",26,1023,11319,1,1,0,6,3,1047042,"1"
"347",22,965,4702,1,2,20,10,6,119173,"1"
"348",26,1001,12258,1,1,5,3,3,855577,"1"
"349",5,814,10138,1,3,20,7,6,211011,"1"
"350",13,257,1700,1,2,55,10,3,519016,"1"
"351",6,1253,9708,1,1,0,13,3,213404,"1"
"352",0,885,9332,0,2,35,7,5,536245,"1"
"353",20,1359,1725,1,2,15,5,5,565904,"1"
"354",13,1154,5051,1,2,5,7,5,604947,"1"
"355",26,264,1846,1,2,0,6,5,900867,"1"
"356",26,203,8281,1,2,10,9,6,464766,"1"
"357",26,886,9266,1,1,5,8,4,96189,"1"
"358",20,158,621,1,1,0,3,3,185164,"1"
"359",30,266,9920,1,2,15,8,5,79480,"1"
"360",20,1359,12217,1,2,10,8,5,515546,"1"
"361",26,1401,418,1,1,5,7,3,135782,"1"
"362",0,946,9428,1,3,25,6,7,807744,"1"
"363",20,158,1658,1,1,5,3,2,150921,"1"
"364",4,13,1986,1,1,10,3,3,554899,"1"
"365",14,162,7103,1,2,20,4,6,84405,"1"
"366",27,390,8698,0,3,20,5,8,139203,"1"
"367",30,73,7580,1,2,15,8,7,893004,"1"
"368",6,1147,311,0,1,0,4,2,680438,"1"
"369",13,1154,1866,1,2,10,6,5,891958,"1"
"370",7,630,8341,1,2,5,11,6,22538,"1"
"371",13,480,7933,0,2,10,10,5,505148,"1"
"372",26,621,7486,3,2,10,12,7,805275,"1"
"373",13,257,1700,1,2,10,6,4,119413,"1"
"374",20,1134,9420,1,2,25,7,4,87226,"1"
"375",9,445,1370,1,1,0,18,4,874694,"1"
"376",20,719,3340,1,2,15,5,5,526834,"1"
"377",10,151,7723,0,2,10,13,7,620305,"1"
"378",8,827,5290,1,3,5,15,7,343779,"1"
"379",6,845,8916,1,2,0,11,6,498894,"1"
"380",25,211,10587,1,2,15,19,7,166110,"1"
"381",12,43,1176,1,2,25,8,4,555840,"1"
"382",6,1253,3073,0,7,0,27,23,853684,"1"
"383",26,1085,6409,1,2,60,7,8,931673,"1"
"384",13,223,3378,1,1,25,14,2,847612,"1"
"385",26,39,10795,1,1,5,17,3,429354,"1"
"386",20,215,6356,1,2,0,6,5,357991,"1"
"387",12,284,11098,1,3,15,9,8,149858,"1"
"388",22,913,11332,1,3,5,6,8,520943,"1"
"389",20,158,4322,1,1,5,3,3,504887,"1"
"390",26,264,6666,1,2,20,8,3,811181,"1"
"391",22,913,4264,1,2,5,3,5,349533,"1"
"392",6,673,6023,0,3,0,19,9,839834,"1"
"393",25,50,3057,1,2,10,11,5,96981,"1"
"394",10,735,10221,1,1,0,5,3,453981,"1"
"395",26,896,3221,2,2,10,10,7,577601,"1"
"396",26,621,3758,1,2,20,8,5,83447,"1"
"397",12,132,96,1,2,15,11,6,631768,"1"
"398",26,1001,6040,1,1,10,4,3,734664,"1"
"399",13,1310,5095,0,1,10,4,2,662005,"1"
"400",20,173,4431,1,2,25,11,7,992293,"1"
"401",6,662,1674,1,1,0,4,3,534398,"1"
"402",26,227,3596,1,2,0,6,5,497845,"1"
"403",26,1001,12258,1,1,5,7,3,501381,"1"
"404",18,751,4751,1,2,0,5,6,896549,"1"
"405",22,378,8100,0,2,30,4,4,486147,"1"
"406",6,1253,5906,2,5,10,14,16,239721,"1"
"407",8,463,8236,1,2,25,8,5,840757,"1"
"408",7,936,3351,1,1,5,2,2,977705,"1"
"409",5,443,4776,1,2,10,7,5,695546,"1"
"410",6,845,5874,1,1,10,7,3,756792,"1"
"411",26,1401,11213,1,2,5,6,6,94821,"1"
"412",8,463,2917,0,3,5,16,10,47927,"1"
"413",9,546,8340,0,1,20,7,4,678509,"1"
"414",20,158,621,3,2,0,19,7,55363,"1"
"415",6,673,4283,1,1,0,13,2,881978,"1"
"416",26,621,7486,0,1,0,10,3,312485,"1"
"417",26,1110,8701,0,2,0,7,5,690501,"1"
"418",20,922,11762,0,1,0,6,3,40136,"1"
"419",22,1398,3765,1,2,15,5,5,522744,"1"
"420",6,1350,3790,0,3,10,17,10,644885,"1"
"421",5,326,7387,1,1,0,4,2,679882,"1"
"422",25,745,3003,1,1,5,13,3,4136,"1"
"423",26,39,85,0,1,5,4,2,804881,"1"
"424",10,661,9789,0,1,0,14,2.48602241096286,853785,"1"
"425",20,508,581,1,1,0,5,3,24358,"1"
"426",26,39,11440,1,1,5,8,3,735213,"1"
"427",10,1397,8182,1,1,5,5,3,980756,"1"
"428",16,244,9048,1,2,0,8,6,506438,"1"
"429",26,39,633,1,2,10,20,10,622281,"1"
"430",6,1253,3073,0,4,5,11,10,538417,"1"
"431",13,1142,2125,0,2,10,10,6,445806,"1"
"432",6,1253,4063,0,2,0,8,5,676922,"1"
"433",26,39,85,1,1,5,12,3,104672,"1"
"434",26,39,11440,1,1,0,14,3,914213,"1"
"435",9,210,12268,1,1,10,8,3,956433,"1"
"436",26,36,5318,0,1,5,15,4,987033,"1"
"437",0,766,9571,1,3,20,6,7,1017132,"1"
"438",6,572,5944,1,2,30,7,6,468036,"1"
"439",25,889,10635,1,2,10,5,5,667828,"1"
"440",26,1401,418,1,1,5,6,3,698700,"1"
"441",26,991,2757,1,2,15,6,5,302740,"1"
"442",8,696,7863,0,1,0,8,3,22055,"1"
"443",26,886,11562,0,1,20,5,5,955678,"1"
"444",26,1132,875,1,2,20,5,5,285293,"1"
"445",26,1023,3233,1,2,5,15,6,854023,"1"
"446",26,1001,11008,1,2,5,5,4,906707,"1"
"447",7,84,5034,1,1,0,3,3,91907,"1"
"448",17,247,3997,1,5,0,8,13,912225,"1"
"449",20,158,621,1,1,0,15,4,508646,"1"
"450",5,260,9294,1,2,50,11,4,855523,"1"
"451",19,301,7006,1,2,15,6,5,849122,"1"
"452",5,1418,11670,1,3,25,8,6,1016473,"1"
"453",26,1132,3071,1,2,10,5,6,322254,"1"
"454",26,896,9195,1,2,30,8,4,645399,"1"
"455",27,1106,6874,1,3,15,23,11,70463,"1"
"456",0,877,127,1,2,45,9,5,88793,"1"
"457",26,1215,4782,2,2,5,13,8,852230,"1"
"458",13,557,11054,1,2,0,6,7,714364,"1"
"459",15,97,4794,0,2,5,6,5,1034136,"1"
"460",7,964,3170,0,2,995,4,4,445669,"1"
"461",20,158,8126,1,2,0,13,5,967736,"1"
"462",3,175,5302,0,3,10,13,9,795863,"1"
"463",20,863,8578,0,2,10,9,7,744304,"1"
"464",15,1087,3622,1,3,30,6,6,513482,"1"
"465",26,39,10445,1,2,0,10,5,90391,"1"
"466",26,1132,5570,1,2,5,6,5,151524,"1"
"467",14,420,3705,1,2,0,7,6,178996,"1"
"468",26,1216,11111,1,1,5,10,3,709953,"1"
"469",5,338,1800,1,2,10,7,5,210955,"1"
"470",26,753,2024,1,1,5,8,5,970580,"1"
"471",7,157,5265,1,3,5,13,9,665799,"1"
"472",20,826,5879,1,1,30,3,4,967089,"1"
"473",26,1050,2902,1,2,30,12,5,948316,"1"
"474",20,158,12327,2,2,10,19,5,400446,"1"
"475",26,1001,6626,1,1,5,4,3,966513,"1"
"476",26,1023,10220,1,2,10,4,5,459094,"1"
"477",26,1259,1919,1,2,15,7,6,971678,"1"
"478",20,214,2227,0,2,20,5,5,56082,"1"
"479",26,896,12492,1,2,5,6,6,757454,"1"
"480",6,845,7126,1,2,0,20,6,340284,"1"
"481",26,432,12482,1,2,15,7,5,813506,"1"
"482",20,1021,6847,1,2,15,10,5,837529,"1"
"483",26,1050,11056,1,2,25,9,5,426842,"1"
"484",20,251,1863,1,2,10,9,6,708572,"1"
"485",7,1040,363,1,2,5,10,6,890750,"1"
"486",26,896,2555,1,2,20,5,4,113020,"1"
"487",2,934,9557,1,2,0,10,5,104404,"1"
"488",26,1401,2557,1,1,0,3,2,439050,"1"
"489",8,1225,3947,1,2,5,5,5,618275,"1"
"490",26,1132,875,1,2,10,3,4,962503,"1"
"491",20,254,380,1,2,15,4,5,444638,"1"
"492",26,1001,6626,1,2,35,4,7,194509,"1"
"493",20,158,2452,1,1,5,19,3,154865,"1"
"494",20,826,5653,1,2,0,11,4,746855,"1"
"495",13,730,11068,1,2,15,16,5,49235,"1"
"496",27,216,7351,1,3,20,14,9,217721,"1"
"497",26,39,11246,1,1,30,35,3,833765,"1"
"498",10,1224,11128,1,1,0,7,3,1032488,"1"
"499",13,257,732,0,2,15,6,3,317777,"1"
"500",22,1088,10298,1,2,15,8,4,450849,"1"
"501",26,991,3006,1,2,10,6,5,430932,"1"
"502",21,363,2537,2,1,5,17,3,12130,"1"
"503",6,697,2717,1,1,0,5,4,287417,"1"
"504",26,1259,10829,1,1,0,5,6,1007025,"1"
"505",26,1001,12258,1,1,0,4,3,651525,"1"
"506",20,136,4638,1,2,25,7,4,506102,"1"
"507",20,254,8540,1,2,0,5,6,112046,"1"
"508",26,1050,6937,1,2,5,9,6,302162,"1"
