"","building_id","geo_level_1_id","geo_level_2_id","geo_level_3_id","count_floors_pre_eq","age","area_percentage","height_percentage","land_surface_condition","foundation_type","roof_type","ground_floor_type","other_floor_type","position","plan_configuration","has_superstructure_adobe_mud","has_superstructure_mud_mortar_stone","has_superstructure_stone_flag","has_superstructure_cement_mortar_stone","has_superstructure_mud_mortar_brick","has_superstructure_cement_mortar_brick","has_superstructure_timber","has_superstructure_bamboo","has_superstructure_rc_non_engineered","has_superstructure_rc_engineered","has_superstructure_other","legal_ownership_status","count_families","has_secondary_use","has_secondary_use_agriculture","has_secondary_use_hotel","has_secondary_use_rental","has_secondary_use_institution","has_secondary_use_school","has_secondary_use_industry","has_secondary_use_health_post","has_secondary_use_gov_office","has_secondary_use_use_police","has_secondary_use_other","damage_grade"
"408",1638,9,431,4681,1,15,5,3,"t","u","n","v","j","s","d",0,0,0,0,0,1,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"418",1707,24,958,11711,2,60,6,5,"n","r","n","f","x","s","d",0,1,0,0,0,0,1,1,0,0,1,"v",1,0,0,0,0,0,0,0,0,0,0,0,1
"422",1729,8,463,5638,1,5,4,3,"n","r","n","f","j","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"426",1760,6,572,5050,2,20,8,5,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",2,0,0,0,0,0,0,0,0,0,0,0,2
"435",1793,17,399,4960,2,55,7,7,"t","r","q","f","q","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"436",1796,23,202,5702,2,5,14,6,"o","r","n","f","q","t","d",0,1,0,0,0,0,1,1,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"455",1881,11,765,8332,2,15,9,6,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"456",1883,7,238,3331,2,15,14,4,"t","r","q","x","x","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"458",1894,21,1093,2019,3,0,9,6,"t","r","q","f","x","s","d",0,1,0,0,0,0,0,0,1,0,0,"v",2,0,0,0,0,0,0,0,0,0,0,0,2
"460",1921,7,1411,5738,2,20,9,5,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"482",2017,6,1241,6360,2,5,7,5,"t","r","n","f","q","s","d",1,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"486",2028,17,721,82,3,90,2,32,"t","r","q","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,1,1,0,0,0,0,0,0,0,0,0,3
"490",2043,4,1202,981,1,15,3,4,"t","r","n","f","j","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,1,1,0,0,0,0,0,0,0,0,0,2
"493",2054,27,216,2103,5,10,26,17,"t","i","x","v","s","t","q",0,0,0,0,0,0,0,0,1,0,0,"v",1,1,0,1,0,0,0,0,0,0,0,0,2
"501",2080,10,218,4775,2,20,10,5,"t","r","q","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"503",2093,6,845,7126,2,10,6,5,"t","r","n","f","q","t","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"507",2108,25,902,11969,1,5,7,3,"t","r","n","x","j","s","d",0,0,0,0,0,0,0,0,0,0,1,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"513",2131,3,720,5019,3,20,9,7,"n","r","n","f","q","s","d",1,0,0,0,0,0,0,0,0,0,0,"v",2,1,1,0,0,0,0,0,0,0,0,0,2
"540",2285,8,1008,11209,2,0,13,4,"t","r","n","f","q","t","d",0,1,1,0,1,0,1,1,0,0,1,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"542",2290,9,1151,11499,1,20,16,3,"t","w","n","f","j","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"554",2339,22,942,6690,2,10,3,5,"t","u","n","f","q","t","d",0,1,0,1,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"561",2376,20,953,6651,2,15,11,5,"t","w","q","z","x","s","d",0,0,0,0,0,0,1,0,0,0,0,"a",1,0,0,0,0,0,0,0,0,0,0,0,1
"562",2381,9,772,9619,2,10,3,4,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"565",2392,9,670,7949,2,20,4,4,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"r",1,1,1,0,0,0,0,0,0,0,0,0,3
"566",2398,26,991,1452,2,10,9,5,"t","w","n","f","x","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"580",2471,26,264,1846,2,0,6,4,"t","w","n","f","q","s","d",0,0,0,0,0,0,1,1,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"584",2496,14,723,5930,2,20,10,6,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,1,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"586",2503,3,720,3189,2,5,4,4,"t","r","n","f","q","t","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"588",2512,16,232,6971,3,40,6,7,"t","r","q","x","q","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,1
"589",2517,10,1127,11433,2,25,7,5,"t","r","n","f","x","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"603",2559,26,1028,91,2,25,7,4,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"620",2618,11,131,11392,2,20,11,5,"t","r","n","f","q","s","d",1,0,0,0,1,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"631",2655,7,1328,11760,1,5,2,3,"n","r","n","f","j","t","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"646",2718,10,417,1071,2,30,3,5,"t","r","n","x","q","t","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"663",2802,10,87,6162,1,30,5,3,"t","r","n","f","j","j","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"664",2813,8,613,3747,2,20,11,5,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"692",2899,17,156,6813,1,25,6,3,"n","r","q","f","j","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"695",2927,13,308,4749,2,0,7,6,"t","r","n","f","q","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"700",2954,4,571,6714,3,0,52,7,"t","r","n","f","x","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,1
"704",2963,17,1047,3631,3,50,10,6,"t","r","n","f","x","t","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"714",2994,21,581,1742,3,10,7,7,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",2,0,0,0,0,0,0,0,0,0,0,0,2
"722",3029,6,931,5423,2,25,11,6,"t","r","n","f","q","s","d",1,0,0,0,0,0,0,0,0,0,0,"v",0,0,0,0,0,0,0,0,0,0,0,0,3
"725",3042,10,996,2248,3,30,7,10,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"743",3099,7,545,9046,2,10,5,4,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"749",3129,10,661,8482,3,0,20,10,"t","i","x","v","s","t","d",0,0,0,0,0,1,0,0,0,1,0,"v",0,1,0,1,0,0,0,0,0,0,0,0,2
"758",3173,26,1259,6129,1,20,5,3,"t","r","n","f","j","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,1,1,0,0,0,0,0,0,0,0,0,3
"767",3207,7,49,9696,2,0,7,6,"t","r","n","f","q","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"768",3212,26,886,9266,2,30,6,4,"t","w","n","f","x","s","d",0,0,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,1
"779",3239,8,463,6973,2,40,8,6,"t","r","q","f","q","j","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,1,0,0,0,0,0,0,0,0,0,1,2
"782",3252,26,1028,5591,2,60,5,6,"o","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"794",3290,7,901,3451,2,35,13,4,"t","r","q","f","q","t","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"798",3308,16,547,5316,2,40,10,5,"t","r","n","x","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"799",3312,27,533,9339,4,50,11,9,"t","r","n","f","q","j","d",1,0,0,0,1,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"800",3313,24,958,5521,2,30,5,5,"t","r","n","f","q","s","d",0,1,0,0,0,0,1,1,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"808",3348,21,1185,6310,2,25,6,4,"n","r","q","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"817",3369,26,264,8233,2,20,6,5,"t","w","q","f","q","s","d",0,1,0,0,0,0,1,1,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"819",3373,8,426,6408,3,0,4,8,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"838",3438,11,660,9780,2,45,6,5,"t","r","n","f","q","t","d",0,1,0,0,0,0,0,0,0,0,0,"a",0,0,0,0,0,0,0,0,0,0,0,0,3
"839",3440,26,991,3697,2,15,6,4,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"840",3445,7,1265,9455,2,30,7,5,"t","r","q","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"849",3479,10,603,4355,2,20,6,5,"n","r","n","f","x","t","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,1,0,1,0,0,0,0,0,0,0,0,2
"855",3494,11,883,11952,3,60,9,7,"t","r","n","f","q","s","d",1,0,0,0,1,1,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"868",3541,8,1403,2038,2,995,6,6,"n","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"887",3615,6,852,7596,2,10,9,8,"o","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",0,0,0,0,0,0,0,0,0,0,0,0,2
"893",3649,7,108,7942,1,5,4,3,"t","w","n","f","j","s","d",0,0,0,0,0,0,1,1,0,0,0,"v",1,1,0,0,0,0,0,1,0,0,0,0,3
"915",3755,10,960,12259,2,10,4,4,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"924",3785,18,677,2611,3,70,15,7,"t","r","n","f","q","t","q",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"938",3835,4,1334,9825,3,5,6,7,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"942",3845,10,575,641,1,0,7,3,"t","r","n","f","j","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"944",3850,17,1327,11618,3,5,8,7,"t","r","n","x","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,1,1,0,0,0,0,0,0,0,0,0,2
"946",3865,21,1195,6251,3,20,10,6,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",2,0,0,0,0,0,0,0,0,0,0,0,3
"950",3874,27,1394,44,3,20,18,9,"t","r","x","v","s","t","d",0,1,0,0,1,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"965",3948,4,926,4828,1,10,6,5,"n","r","n","f","j","t","d",0,1,0,0,0,0,0,0,0,0,0,"v",0,0,0,0,0,0,0,0,0,0,0,0,2
"976",3995,10,603,3777,2,25,5,4,"t","r","q","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"980",4012,20,500,9647,2,15,7,6,"t","w","n","f","q","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"994",4081,7,225,8431,2,15,12,7,"t","r","n","f","x","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"1004",4117,20,158,9229,2,10,4,6,"t","u","q","v","x","t","q",0,0,0,0,0,1,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"1007",4136,25,745,3003,1,5,13,3,"t","i","x","v","j","s","d",0,0,0,0,0,0,0,0,1,0,0,"v",1,1,0,1,0,0,0,0,0,0,0,0,1
"1015",4188,25,1065,6130,2,30,5,5,"n","r","n","f","q","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"1019",4198,4,1422,10633,1,35,4,4,"n","r","n","f","j","s","d",0,1,0,0,0,0,1,1,0,0,0,"v",1,1,1,0,0,0,0,0,0,0,0,0,2
"1026",4220,26,1023,10220,1,5,9,3,"t","i","x","v","j","t","d",0,0,0,0,1,0,0,0,0,1,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"1035",4248,14,437,5201,2,60,8,6,"o","h","n","f","q","s","d",0,1,1,0,0,0,1,1,0,0,1,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"1037",4254,13,778,12528,2,10,9,5,"t","r","q","f","q","s","d",0,1,0,0,0,0,1,1,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"1039",4259,27,181,3563,7,100,2,13,"t","r","x","x","q","o","d",1,0,0,0,0,1,1,0,1,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"1047",4293,10,1097,7633,3,10,7,8,"t","r","q","f","x","t","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"1055",4310,8,1029,11284,3,35,10,8,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"1058",4329,7,1188,7484,2,55,5,6,"t","r","q","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"1062",4346,8,66,8450,3,20,5,7,"t","r","q","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"1066",4358,1,947,4103,3,10,8,7,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"1105",4539,1,1099,9090,2,15,6,6,"t","r","q","f","x","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"1131",4636,27,1106,4888,2,85,6,4,"t","r","n","f","q","t","d",1,0,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"1140",4656,22,816,7405,2,20,8,5,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,1
"1151",4687,21,1062,1458,2,10,5,5,"t","r","n","f","q","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,1,1,0,0,0,0,0,0,0,0,0,3
"1168",4759,26,1259,6129,1,35,6,3,"t","w","n","f","j","s","d",0,0,0,0,0,0,1,0,0,0,0,"v",1,1,1,0,0,0,0,0,0,0,0,0,2
"1174",4772,2,708,5478,3,55,17,8,"t","r","q","v","q","j","a",1,0,0,0,0,1,1,0,0,0,0,"v",1,1,0,1,0,0,0,0,0,0,0,0,2
"1188",4849,26,621,6842,2,25,8,5,"n","w","n","f","q","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,1
"1199",4905,26,1023,11319,1,10,8,3,"t","r","n","v","j","s","u",0,0,0,0,0,1,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"1205",4936,17,1030,5669,1,10,11,2,"t","u","n","v","j","s","d",0,0,0,0,0,1,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,1
"1216",4985,21,313,312,3,15,10,5,"n","r","q","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"a",1,0,0,0,0,0,0,0,0,0,0,0,3
"1221",5008,4,1276,3388,2,5,6,6,"n","r","q","f","q","s","d",0,1,0,0,0,0,1,1,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"1235",5066,10,1248,10682,2,10,6,5,"t","r","n","f","q","t","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"1237",5071,11,765,4192,4,40,14,10,"t","r","q","f","q","t","d",1,0,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"1238",5077,10,151,708,1,0,7,3,"t","i","x","v","j","t","d",0,0,0,0,0,0,0,0,0,1,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"1242",5097,4,1363,11270,2,5,10,6,"o","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
"1255",5157,4,369,4003,2,10,7,5,"n","r","q","f","q","s","d",0,1,0,0,0,0,1,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"1266",5200,27,533,4223,3,150,5,9,"t","r","n","f","q","j","d",1,1,0,0,1,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"1274",5242,17,797,12100,3,5,11,6,"t","r","n","f","q","s","d",0,1,0,1,0,0,0,0,0,0,0,"v",1,1,0,1,0,0,0,0,0,0,0,0,3
"1284",5286,11,364,2834,2,15,9,5,"t","r","n","f","q","s","d",0,1,0,0,0,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,2
"1302",5370,27,390,11946,3,20,12,10,"t","r","n","f","q","t","d",0,0,0,0,1,0,0,0,0,0,0,"v",1,0,0,0,0,0,0,0,0,0,0,0,3
